country,province,region_1,variety,price,year,taster_name,is_red,is_white,is_rose,is_sparkling,is_dry,is_sweet,is_blend
1.0,9.0,116.0,1.0,35.0,2009.0,12.0,0,0,0,0,0,0,0
5.0,11.0,98.0,12.0,15.0,2010.0,3.0,0,0,0,0,0,1,1
5.0,8.0,76.0,8.0,30.0,2014.0,3.0,0,1,0,0,0,0,0
7.0,10.0,7.0,10.0,25.0,1997.0,3.0,0,0,0,0,0,1,0
1.0,25.0,31.0,11.0,25.0,2016.0,13.0,1,0,1,0,0,0,0
3.0,33.0,55.0,3.0,19.0,2011.0,3.0,0,0,0,0,0,0,0
1.0,15.0,118.0,8.0,32.0,2012.0,11.0,0,0,0,0,0,0,0
5.0,37.0,119.0,18.0,17.0,2011.0,16.0,0,0,0,0,1,0,1
10.0,56.0,55.0,28.0,18.0,2007.0,6.0,0,0,0,0,0,0,0
1.0,9.0,120.0,9.0,35.0,2011.0,7.0,1,0,0,0,1,0,1
11.0,29.0,121.0,34.0,16.0,1998.0,0.0,1,0,0,0,0,0,0
14.0,57.0,55.0,60.0,25.0,2012.0,3.0,0,0,0,0,0,0,0
3.0,51.0,55.0,3.0,15.0,2012.0,3.0,1,0,0,0,0,0,0
5.0,41.0,122.0,25.0,140.0,2010.0,3.0,0,0,0,0,1,0,0
7.0,10.0,7.0,10.0,25.0,2009.0,8.0,1,0,0,0,0,0,0
7.0,10.0,17.0,9.0,35.0,2014.0,8.0,1,0,0,0,0,0,1
1.0,15.0,47.0,6.0,100.0,2008.0,11.0,1,0,0,0,0,0,0
3.0,3.0,55.0,3.0,9.0,2013.0,3.0,1,0,0,0,0,0,0
5.0,8.0,123.0,8.0,25.0,2014.0,3.0,0,0,0,0,0,0,0
8.0,14.0,13.0,9.0,40.0,2007.0,6.0,0,0,0,0,0,0,1
5.0,58.0,124.0,15.0,16.0,2013.0,5.0,0,0,0,0,0,0,1
8.0,19.0,106.0,59.0,25.0,2008.0,6.0,1,0,0,0,0,0,0
1.0,1.0,1.0,9.0,15.0,2013.0,1.0,1,0,0,0,0,0,1
7.0,16.0,125.0,14.0,15.0,2011.0,8.0,0,1,0,0,1,1,0
1.0,9.0,24.0,67.0,49.0,2014.0,9.0,1,0,0,0,0,0,0
1.0,9.0,64.0,38.0,26.0,2007.0,0.0,0,0,0,0,1,0,0
9.0,59.0,55.0,68.0,27.0,2013.0,13.0,0,0,0,0,0,0,0
1.0,9.0,126.0,6.0,35.0,2014.0,7.0,1,0,0,0,0,0,0
1.0,9.0,85.0,64.0,36.0,2013.0,12.0,1,0,0,0,0,0,0
7.0,16.0,127.0,36.0,20.0,2015.0,8.0,0,1,0,0,0,0,1
1.0,1.0,1.0,25.0,35.0,2012.0,1.0,1,0,0,0,0,0,0
7.0,22.0,29.0,27.0,25.0,2012.0,8.0,0,0,0,0,1,0,0
1.0,9.0,55.0,30.0,135.0,2010.0,0.0,0,0,0,0,0,0,0
5.0,6.0,82.0,11.0,25.0,2014.0,3.0,1,0,0,0,0,0,0
1.0,9.0,38.0,36.0,20.0,2012.0,12.0,0,1,0,0,0,0,1
1.0,1.0,1.0,12.0,35.0,2010.0,11.0,0,0,0,0,0,0,1
14.0,57.0,55.0,24.0,25.0,2014.0,16.0,0,0,0,0,0,0,0
1.0,15.0,36.0,1.0,25.0,2007.0,11.0,0,0,0,0,0,1,0
5.0,37.0,71.0,48.0,20.0,2015.0,16.0,0,0,0,0,0,0,0
8.0,19.0,128.0,69.0,8.0,2010.0,6.0,1,0,0,0,1,0,0
1.0,1.0,1.0,28.0,16.0,2013.0,1.0,0,0,0,0,0,0,0
3.0,3.0,55.0,3.0,16.0,2005.0,3.0,0,0,0,0,0,0,0
7.0,10.0,7.0,54.0,42.0,2004.0,0.0,0,0,0,0,0,0,0
1.0,9.0,64.0,17.0,25.0,2014.0,12.0,1,0,0,0,0,0,0
7.0,31.0,129.0,70.0,27.0,2005.0,0.0,1,0,0,0,0,0,0
5.0,32.0,130.0,71.0,19.0,2011.0,3.0,0,0,0,0,0,0,0
1.0,9.0,34.0,8.0,44.0,2015.0,9.0,0,0,0,0,0,0,0
1.0,9.0,131.0,30.0,45.0,2014.0,12.0,1,0,0,0,0,0,0
6.0,7.0,132.0,66.0,30.0,2008.0,6.0,0,0,0,0,0,0,1
1.0,60.0,55.0,49.0,11.0,2006.0,11.0,0,1,0,0,0,0,0
8.0,14.0,133.0,72.0,20.0,2015.0,6.0,0,1,0,0,0,0,0
5.0,18.0,55.0,9.0,15.0,2015.0,3.0,1,0,0,0,0,0,1
5.0,6.0,134.0,11.0,22.0,2010.0,3.0,1,0,0,0,0,0,0
1.0,9.0,20.0,15.0,55.0,2012.0,9.0,0,0,0,0,0,0,1
1.0,9.0,85.0,17.0,52.0,2010.0,0.0,0,0,0,0,0,0,0
8.0,19.0,80.0,73.0,58.0,2014.0,6.0,0,0,0,0,0,0,1
1.0,9.0,78.0,6.0,60.0,2010.0,0.0,1,0,0,0,1,0,0
1.0,1.0,135.0,25.0,25.0,2009.0,11.0,0,0,0,0,0,0,0
11.0,29.0,46.0,30.0,50.0,2009.0,5.0,0,0,0,0,0,0,0
5.0,13.0,136.0,13.0,20.0,2012.0,3.0,1,0,0,0,0,0,0
7.0,16.0,72.0,14.0,30.0,2013.0,8.0,0,1,0,0,0,0,0
5.0,8.0,137.0,8.0,25.0,2011.0,3.0,0,0,0,0,0,0,0
1.0,9.0,126.0,24.0,25.0,2014.0,7.0,0,0,0,0,1,0,0
1.0,9.0,64.0,17.0,14.0,2011.0,0.0,0,0,0,0,1,0,0
7.0,40.0,138.0,31.0,8.0,2001.0,5.0,0,0,0,0,0,0,0
1.0,9.0,50.0,6.0,50.0,2007.0,0.0,1,0,0,0,1,1,0
7.0,10.0,7.0,10.0,48.0,2010.0,8.0,0,0,0,0,1,0,0
7.0,31.0,139.0,55.0,25.0,2004.0,0.0,1,0,0,0,0,0,0
7.0,10.0,67.0,54.0,25.0,2008.0,0.0,0,0,0,0,0,0,0
11.0,23.0,27.0,30.0,45.0,2007.0,5.0,0,0,0,0,0,0,0
5.0,8.0,40.0,6.0,55.0,2014.0,3.0,0,0,0,0,0,0,0
6.0,7.0,4.0,74.0,11.0,2006.0,6.0,0,0,0,0,0,0,0
1.0,1.0,1.0,1.0,32.0,2009.0,11.0,1,0,0,0,0,0,0
5.0,11.0,140.0,12.0,15.0,2010.0,3.0,0,0,0,0,0,0,1
5.0,13.0,11.0,13.0,22.0,2014.0,3.0,1,0,0,0,0,0,0
1.0,1.0,1.0,1.0,40.0,2009.0,11.0,0,0,0,0,0,0,0
1.0,9.0,30.0,8.0,20.0,2006.0,0.0,0,0,0,0,0,0,0
1.0,25.0,41.0,41.0,30.0,2015.0,13.0,0,0,0,0,0,0,0
14.0,43.0,55.0,46.0,25.0,2011.0,16.0,0,0,0,0,0,0,0
1.0,9.0,8.0,6.0,28.0,2006.0,0.0,0,0,0,0,1,0,0
1.0,1.0,16.0,8.0,44.0,2013.0,1.0,0,0,0,0,0,0,0
1.0,9.0,105.0,8.0,24.0,2005.0,0.0,0,0,0,0,0,1,0
